Name;ISIN;Symbol;Market;Currency;Open Price;High Price;low Price;last Price;last Trade MIC Time;Time Zone;Volume;Turnover;Closing Price;Closing Price DateTime
OVS;IT0005043507;OVS;Euronext Milan;EUR;2.238;2.238;2.198;2.198;08/03/2024 17:35;CET;779127;1718570.45;2.198;08/03/2024
PHARMANUTRA;IT0005274094;PHN;Euronext Milan;EUR;59.90;60.30;59.50;59.80;08/03/2024 17:35;CET;3409;204354.60;59.80;08/03/2024
PHILOGEN;IT0005373789;PHIL;Euronext Milan;EUR;17.85;17.95;17.55;17.55;08/03/2024 17:35;CET;4952;88149.45;17.55;08/03/2024
PIAGGIO;IT0003073266;PIA;Euronext Milan;EUR;2.842;2.85;2.794;2.806;08/03/2024 17:35;CET;1478134;4.162.184.564;2.806;08/03/2024
PININFARINA SPA;IT0003056386;PINF;Euronext Milan;EUR;0.782;0.794;0.776;0.792;08/03/2024 17:29;CET;25345;19980.24;0.788;08/03/2024
PIOVAN;IT0005337958;PVN;Euronext Milan;EUR;10.90;11.00;10.70;10.70;08/03/2024 17:35;CET;22334;242246.45;10.70;08/03/2024
PIQUADRO;IT0004240443;PQ;Euronext Milan;EUR;2.11;2.14;2.10;2.14;07/03/2024 17:24;CET;4210;8956.07;2.14;08/03/2024
PIRELLI & C;IT0005278236;PIRC;Euronext Milan;EUR;5.408;5.44;5.326;5.368;08/03/2024 17:35;CET;2107962;11.305.302.416;5.368;08/03/2024
PLC;IT0005339160;PLC;Euronext Milan;EUR;1.58;1.60;1.565;1.60;08/03/2024 17:35;CET;12137;19.205.825;1.60;08/03/2024
POSTE ITALIANE;IT0003796171;PST;Euronext Milan;EUR;11.55;11.625;11.505;11.505;08/03/2024 17:35;CET;2651241;30.614.566.125;11.505;08/03/2024
PRYSMIAN;IT0004176001;PRY;Euronext Milan;EUR;47.00;47.09;46.67;46.85;08/03/2024 17:35;CET;584447;27382283.18;46.85;08/03/2024
